"id","date","remitted","cash","gcash","total_unpaid","late_payments","total_remittance","total_sales","total_discount","spoilages","unpaid","late","total_purchases","purchases","created_at","updated_at"
"121","2022-11-22","0.00","6490.00","745.00","1150.00","0.00","8125.00","8385.00",NULL,"[]","[{""name"":""JOSHUA - care off sir lanz"",""price"":""190.00""},{""name"":""sir Lanz(Joshua) - care off sir lanz"",""price"":""70.00""},{""name"":""Jet Curt G. Oraza - "",""price"":""100.00""},{""name"":""maam Irene Tadeo - "",""price"":""330.00""},{""name"":""maam irene tadeo - "",""price"":""80.00""},{""name"":""Sir JAnos - care off Sir JAnn"",""price"":""85.00""},{""name"":""sir JAnos - care off Sir JAnn"",""price"":""295.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-11-22 17:20:30","2022-11-22 17:20:30"
"122","2022-11-23","0.00","6930.00","370.00","250.00","0.00","7290.00","7550.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""Sir Denise - "",""price"":""110.00""},{""name"":""Sir Jann - "",""price"":""70.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-11-23 17:04:47","2022-11-23 17:04:47"
"123","2022-11-24","0.00","8950.00","220.00","565.00","0.00","9475.00","9735.00",NULL,"[]","[{""name"":""sIR Lanz - "",""price"":""70.00""},{""name"":""Sir Papa Bogs - "",""price"":""390.00""},{""name"":""sir jade monton\/loyalty card - "",""price"":""85.00""},{""name"":""aaa - "",""price"":""20.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-11-24 17:09:06","2022-11-24 17:09:06"
"124","2022-11-24","0.00","9640.00","220.00","545.00","0.00","10145.00","10405.00",NULL,"[]","[{""name"":""sIR Lanz - "",""price"":""70.00""},{""name"":""Sir Papa Bogs - "",""price"":""390.00""},{""name"":""sir jade monton\/loyalty card - "",""price"":""85.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-11-24 17:37:28","2022-11-24 17:37:28"
"125","2022-11-25","0.00","9255.00","575.00","1495.00","0.00","10935.00","11325.00",NULL,"[]","[{""name"":""sir lanz - "",""price"":""70.00""},{""name"":""maam eden - "",""price"":""140.00""},{""name"":""sir jade\/maamcrissa\/sir duke - care off maam Justin"",""price"":""370.00""},{""name"":""sir craig\/sir raniel\/maam eden - care off maam justin"",""price"":""475.00""},{""name"":""sir abedel - care off maam justin"",""price"":""95.00""},{""name"":""sir abedel - care off maam tin"",""price"":""150.00""},{""name"":""sir kevin - care off maam justin"",""price"":""85.00""},{""name"":""shaira - "",""price"":""110.00""}]","[]","390.00","[{""name"":""ice"",""price"":390}]","2022-11-25 17:51:26","2022-11-25 17:51:26"
"126","2022-11-26","0.00","6585.00","805.00","650.00","0.00","7780.00","8040.00",NULL,"[]","[{""name"":""MAAM SHEILA(ARCH) - care off SIR JANN"",""price"":""370.00""},{""name"":""sir ervic - care off sir jann"",""price"":""280.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-11-26 16:56:37","2022-11-26 16:56:37"
"127","2022-11-28","0.00","15575.00","1060.00","945.00","895.00","18150.00","17580.00",NULL,"[]","[{""name"":""sir Jann - care off sir Jann"",""price"":""70.00""},{""name"":""sir Jann - care off sir Jann"",""price"":""70.00""},{""name"":""sir Janos - care off Sir Jann"",""price"":""125.00""},{""name"":""maam XiA - "",""price"":""70.00""},{""name"":""sir baki - "",""price"":""85.00""},{""name"":""Aguy(KAbayan Vlogger) - care off UDD"",""price"":""525.00""}]","[{""name"":""sir max - care off sir jm (Oct 06) - cash"",""price"":""220.00""},{""name"":""sir JM - care off Sir JM (Nov 15) - cash"",""price"":""160.00""},{""name"":""Sir JM - care off Sir JM (Nov 18) - cash"",""price"":""515.00""}]","325.00","[{""name"":""ice"",""price"":325}]","2022-11-28 19:11:41","2022-11-28 19:11:41"
"128","2022-11-29","0.00","9360.00","190.00","790.00","70.00","10150.00","10340.00",NULL,"[]","[{""name"":""sir popoy - care off sir mike  arzatech"",""price"":""110.00""},{""name"":""sir lanz - "",""price"":""45.00""},{""name"":""sir jann - care off sir jann"",""price"":""140.00""},{""name"":""sir Rain - "",""price"":""495.00""}]","[{""name"":""maam XiA -  (Nov 28) - cash"",""price"":""70.00""}]","260.00","[{""name"":""ice"",""price"":260}]","2022-11-29 17:19:29","2022-11-29 17:19:29"
"129","2022-12-01","0.00","12085.00","85.00","370.00","0.00","12150.00","12540.00",NULL,"[]","[{""name"":""maam minerva - "",""price"":""60.00""},{""name"":""sir Jann - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""70.00""},{""name"":""sir LAnz - "",""price"":""85.00""},{""name"":""sir Lanz - "",""price"":""85.00""}]","[]","390.00","[{""name"":""ice"",""price"":390}]","2022-12-02 16:36:45","2022-12-02 16:36:45"
"130","2022-12-02","0.00","9269.00","925.00","1015.00","85.00","11034.00","11209.00",NULL,"[]","[{""name"":""Sir Jann - care off Sir Jann"",""price"":""175.00""},{""name"":""Sir Jann - care off Sir Jann"",""price"":""350.00""},{""name"":""sir jett - "",""price"":""140.00""},{""name"":""Sir Jann(CHinabank) - care off Sir Jann"",""price"":""255.00""},{""name"":""Marvin p.Erfilua (Loyalty Card) - care off Sir Jann"",""price"":""95.00""}]","[{""name"":""sir baki -  (Nov 28) - cash"",""price"":""85.00""}]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-02 17:03:48","2022-12-02 17:03:48"
"131","2022-12-02","0.00","9269.00","1045.00","1015.00","85.00","11154.00","11329.00",NULL,"[]","[{""name"":""Sir Jann - care off Sir Jann"",""price"":""175.00""},{""name"":""Sir Jann - care off Sir Jann"",""price"":""350.00""},{""name"":""sir jett - "",""price"":""140.00""},{""name"":""Sir Jann(CHinabank) - care off Sir Jann"",""price"":""255.00""},{""name"":""Marvin p.Erfilua (Loyalty Card) - care off Sir Jann"",""price"":""95.00""}]","[{""name"":""sir baki -  (Nov 28) - cash"",""price"":""85.00""}]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-02 17:11:46","2022-12-02 17:11:46"
"132","2022-12-03","0.00","7705.00","450.00","1135.00","0.00","9030.00","9290.00",NULL,"[]","[{""name"":""sir Lexter King - "",""price"":""110.00""},{""name"":""trixie maningdin(Loyalty Card) - care off sir Jann"",""price"":""95.00""},{""name"":""sir lexter king - "",""price"":""70.00""},{""name"":""Sir Lexter KIng - "",""price"":""340.00""},{""name"":""sir lexter king - "",""price"":""155.00""},{""name"":""sir Lexter king - "",""price"":""115.00""},{""name"":""Sir Jann - care off Sir Jann"",""price"":""250.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-03 18:00:27","2022-12-03 18:00:27"
"133","2022-12-05","0.00","8675.00","1335.00","95.00","0.00","9715.00","10105.00",NULL,"[]","[{""name"":""Leonila Eunice Bandong(LOyalty Card)  - "",""price"":""95.00""}]","[]","390.00","[{""name"":""ice"",""price"":390}]","2022-12-05 17:18:06","2022-12-05 17:18:06"
"134","2022-12-06","0.00","9760.00","285.00","390.00","0.00","10175.00","10435.00",NULL,"[]","[{""name"":""mikey(loyalty card - "",""price"":""70.00""},{""name"":""sir. jann - "",""price"":""20.00""},{""name"":""cj - "",""price"":""60.00""},{""name"":""sir cj - "",""price"":""60.00""},{""name"":""sir JAnn  - "",""price"":""180.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-06 17:29:24","2022-12-06 17:29:24"
"135","2022-12-07","0.00","9252.00","865.00","480.00","0.00","10337.00","10597.00",NULL,"[]","[{""name"":""sir  - "",""price"":""60.00""},{""name"":""sir Taz - "",""price"":""90.00""},{""name"":""sir JAnn - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""165.00""},{""name"":""maam crissa (loyalty card) - "",""price"":""95.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-07 17:25:18","2022-12-07 17:25:18"
"136","2022-12-09","0.00","6770.00","740.00","110.00","0.00","7130.00","7620.00",NULL,"[]","[{""name"":""jomela(loyalty card) - "",""price"":""110.00""}]","[]","490.00","[{""name"":""ice"",""price"":490}]","2022-12-09 17:06:44","2022-12-09 17:06:44"
"137","2022-12-10","0.00","5310.00","70.00","515.00","0.00","5635.00","5895.00",NULL,"[]","[{""name"":""maam minerva - "",""price"":""30.00""},{""name"":""maam mylene aquino - "",""price"":""85.00""},{""name"":""100 - "",""price"":""70.00""},{""name"":""Sir Jann - "",""price"":""330.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-10 17:21:40","2022-12-10 17:21:40"
"138","2022-12-12","0.00","11275.00","1215.00","430.00","0.00","12530.00","12920.00",NULL,"[]","[{""name"":""Ma'am Porcha - "",""price"":""145.00""},{""name"":""loyalty card (geozelle) - "",""price"":""110.00""},{""name"":""mr,Darin - care off sir Jann"",""price"":""80.00""},{""name"":""sir.edgberg - "",""price"":""95.00""}]","[]","390.00","[{""name"":""Ice"",""price"":390}]","2022-12-12 17:06:41","2022-12-12 17:06:41"
"139","2022-12-13","0.00","7251.00","375.00","880.00","95.00","8341.00","8506.00",NULL,"[]","[{""name"":""sir jann - care off sir jann"",""price"":""70.00""},{""name"":""sir jann - "",""price"":""70.00""},{""name"":""jomar (loyalty card) - "",""price"":""95.00""},{""name"":""maam cammile ira - "",""price"":""260.00""},{""name"":""sir JAnos - care off sir jann"",""price"":""85.00""},{""name"":""jash - care off Sir JC"",""price"":""300.00""}]","[{""name"":""sir.edgberg -  (Dec 12) - cash"",""price"":""95.00""}]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-13 17:47:47","2022-12-13 17:47:47"
"140","2022-12-14","0.00","36600.00","1130.00","2590.00","0.00","39670.00","40320.00",NULL,"[]","[{""name"":""sir jc - "",""price"":""510.00""},{""name"":""sir engineer - "",""price"":""80.00""},{""name"":""sir Jeff - care off sir jann"",""price"":""195.00""},{""name"":""Sir JM Rnzo  - care off sir JM"",""price"":""150.00""},{""name"":""maam Irene Tadeo(Guidance) - "",""price"":""430.00""},{""name"":""Suzette - "",""price"":""1,225.00""}]","[]","650.00","[{""name"":""Ice"",""price"":650}]","2022-12-14 21:43:56","2022-12-14 21:43:56"
"141","2022-12-15","0.00","570.00","0.00","290.00","0.00","600.00","860.00",NULL,"[]","[{""name"":""maam and sir  - care off sir jann"",""price"":""190.00""},{""name"":""mr,jet oraza - care off Sir jann"",""price"":""100.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2022-12-15 18:07:35","2022-12-15 18:07:35"
"142","2023-01-03","0.00","5500.00","0.00","545.00","0.00","5785.00","6045.00",NULL,"[]","[{""name"":""papa Jet Curt austin G. Oraza - "",""price"":""320.00""},{""name"":""Margaret DelaCruz(loyalty Card) - "",""price"":""95.00""},{""name"":""mam bry - "",""price"":""130.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-03 16:56:08","2023-01-03 16:56:08"
"143","2023-01-04","0.00","6445.00","170.00","750.00","0.00","7105.00","7365.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""210.00""},{""name"":""sir Jann - "",""price"":""70.00""},{""name"":""Jordan Dingle(Loyalty Card) - care off Sir Jann"",""price"":""95.00""},{""name"":""shery HK c. Ivan(loyalty Card) - "",""price"":""95.00""},{""name"":""Sir JAnn - care off sir Jann"",""price"":""280.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-04 17:00:46","2023-01-04 17:00:46"
"144","2023-01-05","0.00","6175.00","210.00","545.00","0.00","6670.00","6930.00",NULL,"[]","[{""name"":""SEAN PASAOA(LOYALTY CARD) - care off Sir Jann"",""price"":""110.00""},{""name"":""Sir Mike - "",""price"":""90.00""},{""name"":""NICOLE SPIRITU(LOYALTY CARD) - care off Sir Jann"",""price"":""110.00""},{""name"":""JONATHAN CARVAJAL(LOYALTY CARD) - care off Sir Jann"",""price"":""95.00""},{""name"":""sir Jann - care off Sir jann"",""price"":""140.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-05 17:02:41","2023-01-05 17:02:41"
"145","2023-01-06","0.00","7360.00","425.00","280.00","0.00","8065.00","8065.00",NULL,"[]","[{""name"":""sir Jann - care off sir JAnn"",""price"":""140.00""},{""name"":""maam xia - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""70.00""}]","[]","0.00","[]","2023-01-06 17:21:26","2023-01-06 17:21:26"
"146","2023-01-06","0.00","7360.00","425.00","280.00","0.00","7805.00","8065.00",NULL,"[]","[{""name"":""sir Jann - care off sir JAnn"",""price"":""140.00""},{""name"":""maam xia - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""70.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-06 17:22:07","2023-01-06 17:22:07"
"147","2023-01-07","0.00","2350.00","745.00","140.00","0.00","3105.00","3235.00",NULL,"[]","[{""name"":""shai - "",""price"":""80.00""},{""name"":""papa Ervic - "",""price"":""60.00""}]","[]","130.00","[{""name"":""ice"",""price"":130}]","2023-01-07 17:17:41","2023-01-07 17:17:41"
"148","2023-01-09","0.00","6050.00","450.00","335.00","0.00","6575.00","6835.00",NULL,"[]","[{""name"":""jet\/quiboloy - "",""price"":""85.00""},{""name"":""maam Brylene - "",""price"":""60.00""},{""name"":""Joshua(Sir Lanz) - care off sir LAnz"",""price"":""190.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-09 16:49:31","2023-01-09 16:49:31"
"149","2023-01-10","0.00","6815.00","800.00","500.00","0.00","7855.00","8115.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""ANGELA LIBATIQUE(LOYALTY CARD) - care off Sir Jann"",""price"":""95.00""},{""name"":""mr.daren - "",""price"":""60.00""},{""name"":""Eunice Bandong \/christian petines(loyalty card) - "",""price"":""205.00""},{""name"":""sir Jann - "",""price"":""70.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-10 17:11:05","2023-01-10 17:11:05"
"150","2023-01-11","0.00","8745.00","500.00","970.00","0.00","9910.00","10170.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""235.00""},{""name"":""Sir Jann - "",""price"":""40.00""},{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""Sir Lanz(SD) - "",""price"":""70.00""},{""name"":""sir jj - "",""price"":""70.00""},{""name"":""Sir Lester - "",""price"":""455.00""},{""name"":""a - "",""price"":""30.00""}]","[]","260.00","[{""name"":""Ice"",""price"":260}]","2023-01-11 19:10:39","2023-01-11 19:10:39"
"151","2023-01-11","0.00","8745.00","500.00","415.00","0.00","9715.00","9715.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""235.00""},{""name"":""Sir Jann - "",""price"":""40.00""},{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""Sir Lanz(SD) - "",""price"":""70.00""}]","[]","0.00","[]","2023-01-13 09:53:25","2023-01-13 09:53:25"
"152","2023-01-12","0.00","6665.00","85.00","595.00","100.00","7185.00","7345.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""Sir Jann - "",""price"":""275.00""},{""name"":""Sir Jann - "",""price"":""180.00""},{""name"":""sir Jann - "",""price"":""70.00""}]","[{""name"":""sir jj -  (Jan 11) - cash"",""price"":""70.00""},{""name"":""a -  (Jan 11) - cash"",""price"":""30.00""}]","260.00","[{""name"":""Ice"",""price"":260}]","2023-01-13 09:55:19","2023-01-13 09:55:19"
"153","2023-01-13","0.00","7480.00","1285.00","290.00","0.00","8795.00","9055.00",NULL,"[]","[{""name"":""sir LAnz - "",""price"":""70.00""},{""name"":""sir Lanz - "",""price"":""80.00""},{""name"":""sir Jann - "",""price"":""140.00""}]","[]","260.00","[{""name"":""Ice"",""price"":260}]","2023-01-13 17:18:17","2023-01-13 17:18:17"
"154","2023-01-14","0.00","6360.00","395.00","835.00","325.00","7785.00","7590.00",NULL,"[]","[{""name"":""sir Lexter King - "",""price"":""110.00""},{""name"":""jet - "",""price"":""120.00""},{""name"":""sir jann(JET) - "",""price"":""85.00""},{""name"":""leo - "",""price"":""320.00""},{""name"":""kate - "",""price"":""60.00""},{""name"":""romer - "",""price"":""70.00""},{""name"":""sir josh - "",""price"":""70.00""}]","[{""name"":""SIR ENGINEER -  (Sep 22) - cash"",""price"":""80.00""},{""name"":""sir enginer -  (Oct 12) - cash"",""price"":""70.00""},{""name"":""sir Enginer(Discount)Arza -  (Nov 09) - cash"",""price"":""95.00""},{""name"":""sir engineer -  (Dec 14) - cash"",""price"":""80.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2023-01-14 17:01:23","2023-01-14 17:01:23"
"155","2023-01-14","0.00","6880.00","395.00","315.00","325.00","7785.00","7590.00",NULL,"[]","[{""name"":""sir Lexter King - "",""price"":""110.00""},{""name"":""jet - "",""price"":""120.00""},{""name"":""sir jann(JET) - "",""price"":""85.00""}]","[{""name"":""SIR ENGINEER -  (Sep 22) - cash"",""price"":""80.00""},{""name"":""sir enginer -  (Oct 12) - cash"",""price"":""70.00""},{""name"":""sir Enginer(Discount)Arza -  (Nov 09) - cash"",""price"":""95.00""},{""name"":""sir engineer -  (Dec 14) - cash"",""price"":""80.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2023-01-14 17:03:42","2023-01-14 17:03:42"
"156","2023-01-16","0.00","8764.00","705.00","360.00","0.00","9439.00","9829.00",NULL,"[]","[{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""sir Jann - "",""price"":""290.00""}]","[]","390.00","[{""name"":""ice"",""price"":390}]","2023-01-16 17:14:57","2023-01-16 17:14:57"
"157","2023-01-17","0.00","5710.00","425.00","0.00","0.00","5875.00","6135.00",NULL,"[]","[]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-17 17:05:56","2023-01-17 17:05:56"
"158","2023-01-19","0.00","8555.00","1650.00","815.00","0.00","10760.00","11020.00",NULL,"[]","[{""name"":""Ma'am Xia - "",""price"":""160.00""},{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""Sir Gef - care off Sir Jann"",""price"":""180.00""},{""name"":""Sir Jann - "",""price"":""110.00""},{""name"":""Sir Jann - "",""price"":""295.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-19 17:24:08","2023-01-19 17:24:08"
"159","2023-01-20","0.00","9658.00","885.00","815.00","0.00","11098.00","11358.00",NULL,"[]","[{""name"":""joanne Jimenez(loyalty card) - "",""price"":""95.00""},{""name"":""ma'am jeniffer dela rosa - "",""price"":""480.00""},{""name"":""sir JJ - "",""price"":""70.00""},{""name"":""sir JC - "",""price"":""70.00""},{""name"":""Shane (Loyalty Card) - "",""price"":""100.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-20 17:00:13","2023-01-20 17:00:13"
"160","2023-01-20","0.00","9658.00","885.00","895.00","0.00","11178.00","11438.00",NULL,"[]","[{""name"":""joanne Jimenez(loyalty card) - "",""price"":""95.00""},{""name"":""ma'am jeniffer dela rosa - "",""price"":""480.00""},{""name"":""sir JJ - "",""price"":""70.00""},{""name"":""sir JC - "",""price"":""70.00""},{""name"":""Shane (Loyalty Card) - "",""price"":""100.00""},{""name"":""maam - "",""price"":""80.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-20 17:10:06","2023-01-20 17:10:06"
"161","2023-01-20","0.00","10223.00","885.00","815.00","0.00","11663.00","11923.00",NULL,"[]","[{""name"":""joanne Jimenez(loyalty card) - "",""price"":""95.00""},{""name"":""ma'am jeniffer dela rosa - "",""price"":""480.00""},{""name"":""sir JJ - "",""price"":""70.00""},{""name"":""sir JC - "",""price"":""70.00""},{""name"":""Shane (Loyalty Card) - "",""price"":""100.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-20 17:29:12","2023-01-20 17:29:12"
"162","2023-01-20","0.00","10703.00","885.00","335.00","0.00","11663.00","11923.00",NULL,"[]","[{""name"":""joanne Jimenez(loyalty card) - "",""price"":""95.00""},{""name"":""sir JJ - "",""price"":""70.00""},{""name"":""sir JC - "",""price"":""70.00""},{""name"":""Shane (Loyalty Card) - "",""price"":""100.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-20 17:46:01","2023-01-20 17:46:01"
"163","2023-01-21","0.00","5240.00","0.00","0.00","0.00","5110.00","5240.00",NULL,"[]","[]","[]","130.00","[{""name"":""ice"",""price"":130}]","2023-01-21 17:03:20","2023-01-21 17:03:20"
"164","2023-01-23","0.00","8690.00","1295.00","0.00","0.00","9594.00","9985.00",NULL,"[]","[]","[]","391.00","[{""name"":""ice"",""price"":391}]","2023-01-23 17:10:33","2023-01-23 17:10:33"
"165","2023-01-24","0.00","7095.00","455.00","270.00","180.00","7740.00","7820.00",NULL,"[]","[{""name"":""Shaira - "",""price"":""150.00""},{""name"":""Joyce Payumo( Loyalty Card) - "",""price"":""120.00""}]","[{""name"":""Shaira -  (Nov 09) - cash"",""price"":""70.00""},{""name"":""a -  (Dec 16) - cash"",""price"":""30.00""},{""name"":""shai -  (Jan 07) - cash"",""price"":""80.00""}]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-24 17:03:25","2023-01-24 17:03:25"
"166","2023-01-25","0.00","5590.00","485.00","0.00","0.00","5815.00","6075.00",NULL,"[]","[]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-25 17:23:11","2023-01-25 17:23:11"
"167","2023-01-26","0.00","7317.00","760.00","410.00","0.00","8227.00","8487.00",NULL,"[]","[{""name"":""sir jj - "",""price"":""110.00""},{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""mr,darin - care off sir Jann"",""price"":""90.00""},{""name"":""sir Jann - "",""price"":""70.00""},{""name"":""sir Jann - "",""price"":""70.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-26 16:59:31","2023-01-26 16:59:31"
"168","2023-01-27","0.00","10180.00","685.00","525.00","0.00","11130.00","11390.00",NULL,"[]","[{""name"":""sir jj - "",""price"":""85.00""},{""name"":""Sir Lanz - "",""price"":""85.00""},{""name"":""sir jan - "",""price"":""210.00""},{""name"":""dandy - "",""price"":""145.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-27 17:35:15","2023-01-27 17:35:15"
"169","2023-01-28","0.00","6750.00","295.00","140.00","0.00","7055.00","7185.00",NULL,"[]","[{""name"":""sir Jann - "",""price"":""70.00""},{""name"":""sir Jann - "",""price"":""70.00""}]","[]","130.00","[{""name"":""Ice"",""price"":130}]","2023-01-28 17:25:24","2023-01-28 17:25:24"
"170","2023-01-30","0.00","10715.00","845.00","1085.00","0.00","12385.00","12645.00",NULL,"[]","[{""name"":""sir jj - "",""price"":""190.00""},{""name"":""Sir JAnn - "",""price"":""70.00""},{""name"":""sir lanz - "",""price"":""110.00""},{""name"":""LOyalty Card(christine DelaMerced) - "",""price"":""130.00""},{""name"":""sir jann - "",""price"":""180.00""},{""name"":""LIEZEL AQUI(LOYALTY CARD) - care off Sir Jann"",""price"":""110.00""},{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""Kuya darin - "",""price"":""155.00""},{""name"":""Sir Jose - "",""price"":""70.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-30 17:02:38","2023-01-30 17:02:38"
"171","2023-01-31","0.00","7849.00","500.00","1645.00","595.00","10329.00","9994.00",NULL,"[]","[{""name"":""sir jann - "",""price"":""170.00""},{""name"":""sir josh - "",""price"":""70.00""},{""name"":""Sir JAnn - care off Sir Jann"",""price"":""785.00""},{""name"":""Sir JAnn - care off Sir Jann"",""price"":""480.00""},{""name"":""mam porchia - "",""price"":""140.00""}]","[{""name"":""maam xia -  (Dec 16) - cash"",""price"":""70.00""},{""name"":""maam xia -  (Jan 06) - cash"",""price"":""70.00""},{""name"":""sir JJ -  (Jan 20) - cash"",""price"":""70.00""},{""name"":""sir jj -  (Jan 26) - cash"",""price"":""110.00""},{""name"":""sir jj -  (Jan 27) - cash"",""price"":""85.00""},{""name"":""sir jj -  (Jan 30) - cash"",""price"":""190.00""}]","260.00","[{""name"":""ice"",""price"":260}]","2023-01-31 17:28:15","2023-01-31 17:28:15"
"172","2023-02-01","0.00","4815.00","1475.00","980.00","0.00","7010.00","7270.00",NULL,"[]","[{""name"":""mam arlyn\/Loyalty card - "",""price"":""95.00""},{""name"":""sir lanz - "",""price"":""85.00""},{""name"":""maam Irene tadeo\/Maam Brylene maquiran - "",""price"":""650.00""},{""name"":""maam irene tadeo\/maam brylene maquiran - "",""price"":""75.00""},{""name"":""maam justine - "",""price"":""75.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-02-01 17:11:42","2023-02-01 17:11:42"
"173","2023-02-02","0.00","3185.00","255.00","150.00","70.00","3405.00","3590.00",NULL,"[]","[{""name"":""sir craig - "",""price"":""75.00""},{""name"":""mr.darin - "",""price"":""75.00""}]","[{""name"":""sir josh -  (Jan 31) - cash"",""price"":""70.00""}]","255.00","[{""name"":""ice"",""price"":255}]","2023-02-02 17:39:42","2023-02-02 17:39:42"
"174","2023-02-03","0.00","5240.00","295.00","2950.00","0.00","8225.00","8485.00",NULL,"[]","[{""name"":""mam'tine..Udd\/School - "",""price"":""1,050.00""},{""name"":""sir jet - "",""price"":""85.00""},{""name"":""site org c6 - care off sir jann"",""price"":""1,815.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-02-03 16:57:50","2023-02-03 16:57:50"
"175","2023-02-04","0.00","2615.00","225.00","0.00","0.00","2710.00","2840.00",NULL,"[]","[]","[]","130.00","[{""name"":""ice"",""price"":130}]","2023-02-04 17:00:03","2023-02-04 17:00:03"
"176","2023-02-06","0.00","4450.00","975.00","955.00","0.00","6120.00","6380.00",NULL,"[]","[{""name"":""sir Ghinno - "",""price"":""75.00""},{""name"":""mam - care off sir jann"",""price"":""290.00""},{""name"":""mam eden - care off sir jann"",""price"":""170.00""},{""name"":""Sir Jann - "",""price"":""70.00""},{""name"":""maam eden - care off Sir Jann"",""price"":""170.00""},{""name"":""JORDAN DINGLE(LOYALTY CARD) - care off Sir Jann"",""price"":""110.00""},{""name"":""Sir JJ - "",""price"":""70.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-02-06 17:20:32","2023-02-06 17:20:32"
"177","2023-02-07","0.00","5270.00","70.00","810.00","0.00","5890.00","6150.00",NULL,"[]","[{""name"":""sir Jann - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""340.00""},{""name"":""(Voucher)Matrina baltazar - care off Sir Jann"",""price"":""150.00""},{""name"":""sir jann - "",""price"":""70.00""},{""name"":""maam eden - care off sir Jann"",""price"":""180.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-02-07 17:09:42","2023-02-07 17:09:42"
"178","2023-02-08","0.00","5390.00","310.00","290.00","0.00","5730.00","5990.00",NULL,"[]","[{""name"":""Sir Jann - care off Sir JAnn"",""price"":""140.00""},{""name"":""sir mike - "",""price"":""90.00""},{""name"":""mr,darin - care off sir jann"",""price"":""60.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-02-08 17:04:15","2023-02-08 17:04:15"
"179","2023-02-09","0.00","3500.00","215.00","585.00","0.00","4040.00","4300.00",NULL,"[]","[{""name"":""SIR JAAN - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""70.00""},{""name"":""sir jann - care off sir jann"",""price"":""105.00""},{""name"":""ate maricar - "",""price"":""340.00""}]","[]","260.00","[{""name"":""ice"",""price"":260}]","2023-02-09 17:12:30","2023-02-09 17:12:30"
